id;code;name
region1;1;Région de Rabat-Salé-Zemmour-Zaer
region2;2;Région du Grand-Casablanca
region3;3;Région du Sous-Massa-Draa
region4;4;Région du Taza-Al hoceima-Taounate
region5;5;Région de Tadla-Azilal
region6;6;Région de Fès-Boulemane
region7;7;Région de Guelmim-Es-semara
region8;8;Région de Gharb-Chrarda-Béni hssen
region9;9;Région de Laayoune-Boujdour-Sakia el hamra
region10;10;Région de Marrakech-Tensift-Al haouz
region11;11;Région de Meknés-Tafilalèt
region12;12;Région d'Oued Ed-dahab-Lagouira
region13;13;Région de l'Oriental
region14;14;Région de Doukkala-Abda
region15;15;Région de Chaouia-Ouardigha
region16;16;Région de Tanger-Tétouan
region97;97;Région non identifiée
region98;98;Etranger
