id;name;zone
ville49;Alhajb;A 
ville12;Azilal;A 
ville25;Beni-Mellal;B 
ville15;boujdour;A 
ville13;Boulemane;A 
ville11;Casablanca;C 
ville26;Chaouen;B 
ville34;El-Jadida;C 
ville27;El-Kalaa-des-Srarhna;B 
ville17;errachidia;A 
ville19;es-Samara;A 
ville28;Essaouira;B 
ville35;Fès;C 
ville14;Figuig;A 
ville45;Ifrane;A 
ville23;Irherm;A 
ville36;Kenitra;B 
ville37;Khamissèt;C 
ville29;Khenifra;B 
ville38;Khouribga;C 
ville18;Laayoun;A 
ville44;Marrakech;C 
ville39;Meknès;C 
ville50;midelt;A 
ville31;Nador;B 
ville20;ouarzazate;A 
ville32;Oujda;B 
ville24;prefecture Agadir-Idaoutnan;C 
ville52;prefecture Mohamedia;C 
ville51;Prefecture Skhirate_Temara;C 
ville30;Province de Marrakech (Ouled hassoun, Ouled dlim, ;B 
ville54;Province de Mediouna;C 
ville53;Province de Nouasser;C 
ville1;Rabat-salé;C 
ville40;Safi;C 
ville41;Settat;C 
ville42;Tanger;C 
ville21;Tan-Tan;A 
ville33;Taza;B 
ville43;Tétouan;C 
ville48;Tinghir;A 
ville22;Tiznit;A 
